Date,Price (USD),open,high,low,Vol.,tradecount,Daily Change
17/8/17,4285.08,4469.93,4485.39,4200.74,2812379.11,NULL,0
18/8/17,4108.37,4285.08,4371.52,3938.77,4994493.56,NULL,-0.041238437
19/8/17,4139.98,4108.37,4184.69,3850,1508239.39,NULL,0.007694049
20/8/17,4086.29,4139.98,4211.08,4032.62,1915636.35,NULL,-0.012968662
21/8/17,4016,4086.29,4119.62,3911.79,2770592.06,NULL,-0.017201422
22/8/17,4040,4016,4104.82,3400,3648726.5,NULL,0.005976096
23/8/17,4114.01,4040,4265.8,4013.89,4062506.52,NULL,0.018319307
24/8/17,4316.01,4114.01,4371.68,4085.01,3225405.8,NULL,0.049100513
25/8/17,4280.68,4316.01,4453.91,4247.48,2440323.79,NULL,-0.008185801
26/8/17,4337.44,4280.68,4367,4212.41,967753.32,NULL,0.013259576
27/8/17,4310.01,4337.44,4400,4285.54,1507589.96,NULL,-0.006324007
28/8/17,4386.69,4310.01,4399.82,4124.54,2546618.75,NULL,0.017791142
29/8/17,4587.48,4386.69,4625.85,4313.55,2640584.83,NULL,0.045772553
30/8/17,4555.14,4587.48,4647.51,4416.01,3600737.68,NULL,-0.007049622
31/8/17,4724.89,4555.14,4745.42,4555.14,2548384.43,NULL,0.037265594
1/9/17,4834.91,4724.89,4885.55,4654.88,2634056.29,NULL,0.023285198
2/9/17,4472.14,4834.91,4939.19,4286.87,4072965.36,NULL,-0.075031386
3/9/17,4509.08,4472.14,4714.76,4298.33,3011023.5,NULL,0.008260028
4/9/17,4100.11,4509.08,4527.49,3972.51,5550545.61,NULL,-0.090699211
5/9/17,4366.47,4100.11,4484.99,3603,4863148.22,NULL,0.064964111
6/9/17,4619.77,4366.47,4662.87,4335.26,3500735.96,NULL,0.058010246
7/9/17,4691.61,4619.77,4788.59,4438.19,2219664.92,NULL,0.015550558
8/9/17,4282.8,4691.61,4735.39,4028.93,4764005.93,NULL,-0.087136399
9/9/17,4258.81,4282.8,4426.62,4150.06,2814560.35,NULL,-0.005601476
10/9/17,4130.37,4258.81,4283,3801,2653218.2,NULL,-0.030158659
11/9/17,4208.47,4130.37,4334.43,4098.91,2895733.88,NULL,0.018908718
12/9/17,4163.72,4208.47,4394.59,4040.8,3700789.23,NULL,-0.010633318
13/9/17,3944.69,4163.72,4165.38,3760,3522155.98,NULL,-0.052604402
14/9/17,3189.02,3944.69,3993,3165.13,5831847.65,NULL,-0.191566384
15/9/17,3700,3189.02,3856,2817,6525220.95,NULL,0.160231043
16/9/17,3714.95,3700,3950,3470.66,4739326.89,NULL,0.004040541
17/9/17,3699.99,3714.95,3748.21,3499.02,2445321.19,NULL,-0.004026972
18/9/17,4035.01,3699.99,4123.2,3690,4059703.98,NULL,0.090546191
19/9/17,3910.04,4035.01,4089.97,3830.91,3544361.84,NULL,-0.030971423
20/9/17,3900,3910.04,4046.08,3820,2834260.05,NULL,-0.002567749
21/9/17,3609.99,3900,3910,3567,3642671.89,NULL,-0.074361538
22/9/17,3595.87,3609.99,3750,3505.55,3011224.81,NULL,-0.003911368
23/9/17,3780,3595.87,3817.19,3542.91,2781158.57,NULL,0.051205967
24/9/17,3660.02,3780,3789.99,3622.76,2439045.2,NULL,-0.031740741
25/9/17,3920.75,3660.02,3979.87,3653.69,2755957.53,NULL,0.071237316
26/9/17,3882.35,3920.75,3976.99,3850.05,2047857.28,NULL,-0.009794045
27/9/17,4193,3882.35,4249.94,3872.81,2542872.29,NULL,0.08001597
28/9/17,4174.5,4193,4300,4101,3510052.09,NULL,-0.004412115
29/9/17,4174.69,4174.5,4263.86,3952.01,6403068.39,NULL,4.55144E-05
30/9/17,4378.51,4174.69,4380,4138.1,3025265.75,NULL,0.048822787
1/10/17,4378.48,4378.51,4406.52,4240.04,3128231.71,NULL,-6.85165E-06
2/10/17,4380,4378.48,4561.63,4360,2811131.03,NULL,0.000347152
3/10/17,4310,4380,4467.33,4180.8,4579122.09,NULL,-0.015981735
4/10/17,4208.59,4310,4373,4142,3639917,NULL,-0.023529002
5/10/17,4292.43,4208.59,4355,4110,3216620.42,NULL,0.019921161
6/10/17,4369,4292.43,4417,4292,2193131.64,NULL,0.017838381
7/10/17,4423,4369,4479.5,4312.56,1261367.6,NULL,0.012359808
8/10/17,4640,4423,4658,4423,2282412.29,NULL,0.049061723
9/10/17,4786.95,4640,4889.98,4550,3006465.77,NULL,0.031670259
10/10/17,4783.06,4786.95,4960,4680.59,5011470.95,NULL,-0.000812626
11/10/17,4821.43,4783.06,4881.61,4710,3529503.87,NULL,0.008022061
12/10/17,5430,4821.43,5439.99,4810.16,6610146,NULL,0.126221889
13/10/17,5649.98,5430,5846.17,5379.84,10519034.83,NULL,0.040511971
14/10/17,5869.99,5649.98,5900,5580.01,5507933.89,NULL,0.038939961
15/10/17,5709.99,5869.99,5922.3,5400.01,7474934.37,NULL,-0.027257287
16/10/17,5760.02,5709.99,5788.91,5585.19,8628528.43,NULL,0.008761837
17/10/17,5595,5760.02,5774.98,5508.63,7998644.63,NULL,-0.028649206
18/10/17,5512.06,5595,5596,5037.95,12337122.76,NULL,-0.01482395
19/10/17,5683.9,5512.06,5710,5490.26,10537781.67,NULL,0.031175277
20/10/17,6010.01,5683.9,6110,5600,11235714.66,NULL,0.057374338
21/10/17,6024.97,6010.01,6171,5850.03,10031910.73,NULL,0.002489181
22/10/17,5950.02,6024.97,6060,5720.03,7951487.14,NULL,-0.012439896
23/10/17,5915.93,5950.02,6080,5621.03,10468709.39,NULL,-0.005729393
24/10/17,5477.03,5915.93,5925,5450,14426687.47,NULL,-0.074189519
25/10/17,5689.99,5477.03,5704.96,5286.98,12398533.97,NULL,0.038882387
26/10/17,5861.77,5689.99,5939.99,5650,11340558.63,NULL,0.03018986
27/10/17,5768.83,5861.77,5980,5649.24,8110889.65,NULL,-0.015855279
28/10/17,5719.64,5768.83,5850.02,5630.03,7265286.61,NULL,-0.008526859
29/10/17,6169.98,5719.64,6189.88,5648.01,10494670.52,NULL,0.078735725
30/10/17,6120.5,6169.98,6248.68,6030,8989412.91,NULL,-0.008019475
31/10/17,6463,6120.5,6498.01,6100,9405855.26,NULL,0.05595948
1/11/17,6753.98,6463,6774.67,6338.02,10848260.96,NULL,0.045022435
2/11/17,7019.98,6753.98,7300,6685.1,17065694.69,NULL,0.039384185
3/11/17,7115.04,7019.98,7346.34,6923,13371961.76,NULL,0.013541349
4/11/17,7357.09,7115.04,7480.99,6901,9967485.56,NULL,0.034019485
5/11/17,7345.01,7357.09,7590.25,7279.02,8887109.79,NULL,-0.001641954
6/11/17,6960.12,7345.01,7401,6906,12518224.29,NULL,-0.052401562
7/11/17,7064.04,6960.12,7198.49,6901,10043061.88,NULL,0.014930777
8/11/17,7303,7064.04,7770,6651,19801967.39,NULL,0.033827668
9/11/17,7079.99,7303,7392,7015,13654254.41,NULL,-0.030536766
10/11/17,6506.98,7079.99,7279.91,6255.01,21622898.73,NULL,-0.08093373
11/11/17,6245.05,6506.98,6797.98,6100,17244601.14,NULL,-0.040253697
12/11/17,5811.03,6245.05,6630,5325.01,29032268.06,NULL,-0.069498243
13/11/17,6465.99,5811.03,6697.47,5699.99,16021297.87,NULL,0.112709795
14/11/17,6574.99,6465.99,6684.98,6311.07,8002218.02,NULL,0.016857434
15/11/17,7240.06,6574.99,7298,6574.99,12209260.29,NULL,0.101151485
16/11/17,7864.5,7240.06,7940,7076,17218742.72,NULL,0.086247904
17/11/17,7699.19,7864.5,7989,7451,30331551.17,NULL,-0.021019772
18/11/17,7761.94,7699.19,7819.99,7422,30018085.64,NULL,0.008150208
19/11/17,8038,7761.94,8123.15,7650.33,30155811.14,NULL,0.035565851
20/11/17,8212,8038,8319.99,7954,31325904.01,NULL,0.021647176
21/11/17,8119.51,8212,8400,7801,36459262.83,NULL,-0.011262786
22/11/17,8205.92,8119.51,8322.68,8091.09,28909672.15,NULL,0.010642268
23/11/17,8019.99,8205.92,8260,8000,33078791.97,NULL,-0.022658032
24/11/17,8138,8019.99,8369,7850,35190695.02,NULL,0.014714482
25/11/17,8700.01,8138,8734.78,8090,35557462.89,NULL,0.069059966
26/11/17,9128.02,8700.01,9350,8604.72,36788798.23,NULL,0.049196495
27/11/17,9650,9128.02,9654.28,9112.04,42510408.37,NULL,0.057184362
28/11/17,9896.8,9650,9939,9570.5,47842436.8,NULL,0.02557513
29/11/17,9687.88,9896.8,11300.03,8520,132892125.4,NULL,-0.021109854
30/11/17,9838.96,9687.88,10900,8850.8,89443707.91,NULL,0.015594743
1/12/17,10782.99,9838.96,10898,9380,61238619.44,NULL,0.095948149
2/12/17,10890.01,10782.99,11190,10620,51343786.05,NULL,0.009924891
3/12/17,11165.41,10890.01,11825,10500,58847089.26,NULL,0.025289233
4/12/17,11579,11165.41,11600,10802,52088059.28,NULL,0.037042079
5/12/17,11699.99,11579,11853,11447.68,64256817.15,NULL,0.010449089
6/12/17,13550.05,11699.99,13615.23,11665.58,82493149.76,NULL,0.158124921
7/12/17,16599,13550.05,16649.96,13050,106276261.2,NULL,0.22501393
8/12/17,15880,16599,17204.99,14015,267790028.5,NULL,-0.043315862
9/12/17,14656.07,15880,16269.3,12535,202610478.6,NULL,-0.077073678
10/12/17,14899.98,14656.07,15720.12,12368,227450819.9,NULL,0.016642251
11/12/17,16587.97,14899.98,17470,14899.98,189991754.6,NULL,0.113288072
12/12/17,16349.99,16587.97,16976.45,15875,153618681.2,NULL,-0.014346541
13/12/17,16033.29,16349.99,16546,14666.56,193659309.9,NULL,-0.019370042
14/12/17,16334.98,16033.29,16445,15450,179714368.7,NULL,0.018816475
15/12/17,17539.83,16334.98,17991,16298.45,156645098.6,NULL,0.07375889
16/12/17,19102.66,17539.83,19539,17190.01,74736577.26,NULL,0.089101776
17/12/17,18860.02,19102.66,19798.68,18510,172113390.5,NULL,-0.012701896
18/12/17,18856.25,18860.04,19300,17029.98,196339245.7,91956,-0.000199894
18/12/17,18856.25,18860.02,19300,17029.98,190057336.9,NULL,0
19/12/17,17295.2,18856.25,18950,16300,232790625.9,116569,-0.082786874
20/12/17,16488.98,17295.2,17720.35,14777.66,221193892.5,129762,-0.046615246
21/12/17,15492.64,16480.52,17309.5,14022,320176825.3,117731,-0.060424599
22/12/17,13326.61,15514.03,15699.34,10961,477509934.7,243261,-0.139810258
23/12/17,13300,13326.61,14950,12978.18,184759685.3,135005,-0.001996757
24/12/17,13500,13300,13819.99,11640,365709589.6,173557,0.015037594
25/12/17,13699.34,13500,14300,12708,213139657.6,116416,0.014765926
26/12/17,15689.01,13699.34,16050,13533,224843731.9,133133,0.145238384
27/12/17,15459.99,15709.98,16498.05,14200.15,231229932.5,142202,-0.014597479
28/12/17,14182.11,15459.97,15539.99,13150,303401228,178032,-0.082657233
29/12/17,14378.9,14199.14,14981,13850,260911629.2,142100,0.013875932
30/12/17,12440.01,14378.99,14398.85,11750,247803953.8,190204,-0.134842721
31/12/17,13716.36,12345.1,14050.11,12149.98,155283285.4,138893,0.1026004
1/1/18,13380,13715.65,13818.55,12750,114799747.4,105595,-0.024522541
2/1/18,14675.11,13382.16,15473.49,12890.02,279717107.4,177728,0.096794469
3/1/18,14919.51,14690,15307.56,14150,236116868.3,162787,0.016654049
4/1/18,15059.54,14919.51,15280,13918.04,312781583.8,170310,0.009385697
5/1/18,16960.39,15059.56,17176.24,14600,369321956.5,192969,0.126222315
6/1/18,17069.79,16960.39,17143.13,16011.21,309216921,158242,0.006450323
7/1/18,16150.03,17069.79,17099.96,15610,206194706.4,120269,-0.053882327
8/1/18,14902.54,16218.85,16322.3,12812,396569997.2,208642,-0.077243819
9/1/18,14400,14902.54,15500,14011.05,210630187.5,156656,-0.033721768
10/1/18,14907.09,14401,14955.66,13131.31,244011366.8,161476,0.035214583
11/1/18,13238.78,14940,14968.68,11400,446587594.7,239416,-0.111913861
12/1/18,13740.01,13238.76,14109.78,12500,222516076.3,134452,0.037860739
13/1/18,14210,13749.95,14580,13706.15,173086488.5,123639,0.034205943
14/1/18,13474.99,14210,14339.5,12569.2,226525305.1,152364,-0.051724842
15/1/18,13539.93,13477.98,14249.99,13147.79,200614554.5,145362,0.004819299
16/1/18,10900,13500,13542.93,9035,722150828.1,418243,-0.194973682
17/1/18,10988.79,10899.99,11680.99,9037.94,744154180.1,517293,0.008145872
18/1/18,10961.97,10972.59,11878.82,10435.33,541289614.1,393112,-0.002440669
19/1/18,11474.98,10960,11795,10360,382773499.2,273271,0.04679907
20/1/18,12799.94,11474.98,13099,11412.45,358561107.8,251647,0.115465125
21/1/18,11530,12799.8,12799.8,10965,485289230.8,360207,-0.099214528
22/1/18,10760.05,11530,11926.35,9900.24,475716514.2,363264,-0.066777971
23/1/18,10799.18,10760.05,11399,9905,399419413.2,355286,0.0036366
24/1/18,11349.99,10799.14,11570.48,10500,299470607.4,293429,0.051004799
25/1/18,11175.27,11349.96,11794.05,10950.21,236081365,221040,-0.015393846
26/1/18,11089,11184.7,11643,10311.15,360482470.2,314720,-0.007719724
27/1/18,11491,11089,11650,10842.69,212663199.5,207478,0.036252142
28/1/18,11879.95,11499.98,12244,11408,200211582.9,206247,0.033848229
29/1/18,11251,11879.95,11975.02,11139.55,162110154.9,169199,-0.052942142
30/1/18,10237.51,11250.11,11308.42,9900,268978329.5,259212,-0.090079993
31/1/18,10285.1,10230,10425.85,9700,181644207.1,201422,0.004648591
1/2/18,9224.52,10285.1,10335,8750.99,317636346,316020,-0.103118103
2/2/18,8873.03,9224.52,9250,8010.02,434236483.7,453411,-0.03810388
3/2/18,9199.96,8873.03,9473.01,8229,256834729.1,327519,0.036845362
4/2/18,8184.81,9199.96,9368,7930,274912288.4,356134,-0.110342871
5/2/18,6939.99,8179.99,8382.8,6625,471166218.7,533510,-0.152089053
6/2/18,7652.14,6939.63,7878,6000.01,684364276.4,785996,0.102615422
7/2/18,7599,7655.02,8476,7150.01,477935038.8,514893,-0.006944463
8/2/18,7784.02,7599,7844,7572.09,11770168.04,12417,0.024347941
9/2/18,8683.92,7789.9,8738,7789.9,173348469.8,273091,0.115608644
10/2/18,8533.98,8683.93,9065.78,8120,423411421.9,537578,-0.017266396
11/2/18,8063.88,8533.99,8549,7726.53,366966437.2,524626,-0.055085669
12/2/18,8903,8063.82,8989,8053,362440827,477660,0.104059088
13/2/18,8539.9,8903,8950,8351,305165143.7,401893,-0.040784005
14/2/18,9449.99,8535.17,9489.6,8533,370126692.7,514897,0.106569164
15/2/18,10000.09,9449.98,10219.5,9301.5,512388484.7,608349,0.058211702
16/2/18,10159.98,10000.89,10323.37,9666,381103299.2,405310,0.015988856
17/2/18,11039.55,10156.07,11075.07,10050,446012696.2,413585,0.086572021
18/2/18,10383.43,11039.55,11274,10080,649423311.3,537534,-0.059433582
19/2/18,11153,10375.01,11250,10270.33,443766562.7,366882,0.074115201
20/2/18,11200.99,11147.11,11786.01,11100.59,551573232.2,432197,0.004302878
21/2/18,10437.6,11195.07,11304.03,10200,731537130.5,542340,-0.068153797
22/2/18,9811.04,10439.02,10933.44,9679,682006373.9,506273,-0.060029125
23/2/18,10131.04,9815.55,10435,9570.19,571800753.5,467480,0.032616318
24/2/18,9694.51,10131.04,10496.97,9352,405618586.6,337918,-0.04308837
25/2/18,9590,9694.51,9847,9274.8,271286599.1,233567,-0.010780328
26/2/18,10324,9590,10444.32,9350,347559259.7,285276,0.07653806
27/2/18,10569.04,10321,10870,10121,324295371.1,240542,0.023734986
28/2/18,10326.76,10584.33,11098,10300,327914696.1,277886,-0.022923558
1/3/18,10920,10325.64,11060.41,10240,268172535.4,230428,0.057446866
2/3/18,11039,10923.36,11200,10770,262936307,211691,0.010897436
3/3/18,11464.48,11038.99,11544,11015.01,241749497.9,190444,0.038543346
4/3/18,11515,11464.47,11565,11050.02,194849579.1,168359,0.004406654
