date,open,high,low,close,volume,tradecount
31/10/2021,61859.19,62405.3,59945.36,61299.8,2396556477,1563417
30/10/2021,62253.7,62359.25,60673,61859.19,1937860260,1197748
29/10/2021,60575.9,62980,60174.81,62253.71,2706090987,1417344
28/10/2021,58413.44,62499,57820,60575.89,3677629851,1878275
27/10/2021,60328.81,61496,58000,58413.44,3688306193,1913083
26/10/2021,63078.78,63293.48,59817.55,60328.81,2492606133,1334460
25/10/2021,60852.22,63710.63,60650,63078.78,2309339650,1270453
24/10/2021,61286.75,61500,59510.63,60852.22,1889694559,1052085
23/10/2021,60688.23,61747.64,59562.15,61286.75,1686121722,982103
22/10/2021,62193.15,63732.39,60000,60688.22,3229377744,1555280
21/10/2021,66001.4,66639.74,62000,62193.15,4407757971,2181665
20/10/2021,64280.59,67000,63481.4,66001.41,3362878816,1823286
19/10/2021,62005.6,64486,61322.22,64280.59,3370863940,1755708
18/10/2021,61528.32,62695.78,59844.45,62009.84,3195091233,1629184
17/10/2021,60875.57,61718.39,58963,61528.33,2371696295,1331655
16/10/2021,61672.42,62378.42,60150,60875.57,2173374059,1360379
15/10/2021,57347.94,62933,56850,61672.42,4959389369,2649137
14/10/2021,57370.83,58532.54,56818.05,57347.94,2481915792,1372048
13/10/2021,55996.91,57777,54167.19,57367,3123307687,1610489
12/10/2021,57471.35,57680,53879,55996.93,3017210683,1554412
11/10/2021,54659.01,57839.04,54415.06,57471.35,2994673618,1690409
10/10/2021,54949.72,56561.31,54080,54659,4923958325,2427176
9/10/2021,53955.67,55489,53661.67,54949.72,3024862791,1609483
8/10/2021,53785.22,56100,53617.61,53951.43,2522087625,1548832
7/10/2021,55315,55332.31,53357,53785.22,2983143121,1703147
6/10/2021,51471.99,55750,50382.41,55315,4236927265,2443126
5/10/2021,49224.93,51886.3,49022.4,51471.99,2618101829,1641651
4/10/2021,48200.01,49536.12,46891,49224.94,2258464361,1437692
3/10/2021,47634.89,49228.08,47088,48200.01,1482764462,1114294
2/10/2021,48141.6,48336.59,47430.18,47634.9,1459064881,996116
1/10/2021,43820.01,48495,43283.03,48141.61,3076094887,1771237
30/09/2021,41524.29,44141.37,41410.17,43824.1,2005486004,1197815
29/09/2021,41025.01,42590,40753.88,41524.28,1399625476,884909
28/09/2021,42147.35,42787.38,40888,41026.54,1816305388,1045389
27/09/2021,43160.9,44350,42098,42147.35,1728912300,1001487
26/09/2021,42670.63,43950,40750,43160.9,2124657079,1374145
25/09/2021,42810.58,42966.84,41646.28,42670.64,1428238748,949787
24/09/2021,44865.26,45200,40675,42810.57,3596718231,1819744
23/09/2021,43546.37,44978,43069.09,44865.26,2147211305,1196106
22/09/2021,40734.09,44000.55,40565.39,43543.61,2482639472,1304011
21/09/2021,43016.64,43639,39600,40734.38,3551997787,1820721
20/09/2021,47241.75,47347.25,42500,43015.62,3457139274,1842231
19/09/2021,48292.75,48372.83,46829.18,47241.75,1421642879,909785
18/09/2021,47299.98,48843.2,47035.56,48292.74,1491461628,976346
17/09/2021,47737.81,48150,46699.56,47299.98,1637122049,1033968
16/09/2021,48121.4,48557,47021.1,47737.82,1948447233,1176129
15/09/2021,47103.28,48500,46682.32,48121.41,2056996399,1176050
14/09/2021,44940.72,47250,44594.44,47111.52,2072259519,1210258
13/09/2021,46025.23,46880,43370,44940.73,2930668118,1703512
12/09/2021,45173.68,46460,44742.06,46025.24,1464780920,1179808
11/09/2021,44842.2,45987.93,44722.22,45173.69,1380370764,1060890
10/09/2021,46395.14,47033,44132.29,44850.91,2243698626,1569941
9/09/2021,46048.31,47399.97,45513.08,46395.14,2351862984,1567586
8/09/2021,46868.57,47340.99,44412.02,46048.31,3000605794,1796101
7/09/2021,52666.2,52920,42843.05,46863.73,6004105773,3321711
6/09/2021,51756.88,52780,50969.33,52663.9,2549290983,1678015
5/09/2021,49917.54,51900,49450,51756.88,2049212026,1417660
4/09/2021,49998,50535.69,49370,49915.64,1733527136,1225830
3/09/2021,49246.63,51000,48316.84,49999.14,2949574478,1645163
2/09/2021,48810.51,50450.13,48584.06,49246.64,2704192315,1549849
1/09/2021,47100.89,49156,46512,48810.52,2386074445,1280384
31/08/2021,46982.91,48246.11,46700,47100.89,2303799571,1300400
30/08/2021,48767.84,48888.61,46853,46982.91,1932344431,1204012
29/08/2021,48895.35,49632.27,47762.54,48767.83,1588661416,1193046
28/08/2021,49069.9,49299,48346.88,48895.35,1303966036,793012
27/08/2021,46843.86,49149.93,46348,49069.9,2007071230,1320503
26/08/2021,48973.32,49352.84,46250,46843.87,2333900030,1532753
25/08/2021,47674.01,49264.3,47126.28,48973.32,2149442272,1559186
24/08/2021,49488.85,49860,47600,47674.01,2486079316,1692896
23/08/2021,49239.22,50500,49029,49488.85,2616721364,2143309
22/08/2021,48821.88,49500,48050,49239.22,1807169840,1610192
21/08/2021,49322.47,49757.04,48222,48821.87,2290966131,2069725
20/08/2021,46760.62,49382.99,46622.99,49322.47,2721131744,1950404
19/08/2021,44699.37,47033,43927.7,46760.62,2416320067,1774382
18/08/2021,44695.95,46000,44203.28,44705.29,2439673266,1656723
17/08/2021,45901.3,47160,44376,44695.95,2616339598,1781303
16/08/2021,46973.82,48053.83,45660,45901.29,2462127630,1655378
15/08/2021,47068.5,47372.27,45500,46973.82,1950753713,1580122
14/08/2021,47799.99,48144,45971.03,47068.51,2166461459,1849556
13/08/2021,44400.06,47886,44217.39,47800,2239435701,1804716
12/08/2021,45510.67,46218.12,43770,44399,2478758525,1623329
11/08/2021,45585,46743.47,45341.14,45511,2432788770,1862925
10/08/2021,46248.87,46700,44589.46,45584.99,2452485824,1951330
9/08/2021,43794.36,46454.15,42779,46253.4,3362870286,2130595
8/08/2021,44572.54,45310,43261,43794.37,3074924735,1857112
7/08/2021,42836.87,44700,42446.41,44572.54,3197407326,2258213
6/08/2021,40862.46,43392.43,39853.86,42836.87,3148022460,2223356
5/08/2021,39723.17,41350,37332.7,40862.46,3314527738,1913281
4/08/2021,38207.04,39969.66,37508.56,39723.18,2028792778,1220555
3/08/2021,39146.86,39780,37642.03,38207.05,2195360659,1379871
2/08/2021,39850.27,40480.01,38690,39147.82,2010928004,1162878
1/08/2021,41461.84,42599,39422.01,39845.44,2227567271,1603964
31/07/2021,42206.36,42448,41000.15,41461.83,1868285511,1565380
30/07/2021,40018.49,42316.71,38313.23,42206.37,2939833541,1797012
29/07/2021,40019.57,40640,39200,40016.48,2154190697,1428738
28/07/2021,39456.61,40900,38772,40019.56,4040889462,2631048
27/07/2021,37241.33,39542.61,36383,39457.87,3335658262,1938478
26/07/2021,35381.02,40550,35205.78,37237.6,5832475057,3330102
25/07/2021,34261.51,35398,33851.12,35381.02,1646935553,1245775
24/07/2021,33634.1,34500,33401.14,34258.14,1625046258,1196914
23/07/2021,32287.58,33650,31924.32,33634.09,1631947003,1394786
22/07/2021,32144.51,32591.35,31708,32287.83,1482763545,1000742
21/07/2021,29790.34,32858,29482.61,32144.51,2603140706,1415058
20/07/2021,30839.65,31063.07,29278,29790.35,1821230700,1062139
19/07/2021,31778.57,31899,30407.44,30839.65,1470563282,846029
18/07/2021,31520.07,32435,31108.97,31778.56,1140964366,760979
17/07/2021,31383.86,31955.92,31164.31,31520.07,1072815966,883442
16/07/2021,31874.49,32249.18,31020,31383.87,1538342712,1067591
15/07/2021,32820.03,33185.25,31133,31880,1652077965,1099367
14/07/2021,32729.12,33114.03,31550,32820.02,1515692075,1123129
13/07/2021,33086.94,33340,32202.25,32729.77,1348583017,956053
12/07/2021,34259,34678.43,32658.34,33086.63,1620646741,1176847
11/07/2021,33502.87,34666,33306.47,34258.99,1070033013,952891
10/07/2021,33815.81,34262,33004.78,33502.87,1171790111,865508
9/07/2021,32875.71,34100,32261.07,33815.81,1562958239,1236351
8/07/2021,33862.11,33929.64,32077,32875.71,2304973020,1257892
7/07/2021,34220.02,35059.09,33777.77,33862.12,1857658028,1041416
6/07/2021,33690.15,35118.88,33532,34220.01,1991691101,1184687
5/07/2021,35288.13,35293.78,33125.55,33690.14,2183406257,1109367
4/07/2021,34669.12,35967.85,34357.15,35286.51,1544458212,1164970
3/07/2021,33786.54,34945.61,33316.73,34669.13,1478423024,1078278
2/07/2021,33502.33,33977.04,32699,33786.55,1870193042,1176457
1/07/2021,35045,35057.57,32711,33504.69,2410809595,1240681
30/06/2021,35911.72,36100,34017.55,35045,2688939291,1301036
29/06/2021,34494.89,36600,34225.43,35911.73,3233947792,1673802
28/06/2021,34702.49,35297.71,33862.72,34494.89,2837122780,1868627
27/06/2021,32283.65,34749,31973.45,34700.34,3199980158,1799875
26/06/2021,31576.09,32730,30151,32283.65,3376415452,1814051
25/06/2021,34663.08,35500,31275,31584.45,3846120543,2094932
24/06/2021,33675.07,35298,32286.57,34663.09,2925373222,1531230
23/06/2021,32509.56,34881,31683,33678.07,4282250434,2026228
22/06/2021,31614.12,33298.78,28805,32509.56,6406159197,3113977
21/06/2021,35600.17,35750,31251.23,31608.93,5545926078,2688993
20/06/2021,35483.72,36137.72,33336,35600.16,3124634337,1691871
19/06/2021,35820.48,36457,34803.52,35483.72,2453817535,1212278
18/06/2021,38092.97,38202.84,35129.29,35819.84,3507868126,1809253
17/06/2021,38349,39559.88,37365,38092.97,3065622530,1620210
16/06/2021,40143.8,40527.14,38116.01,38349.01,3450556042,2134897
15/06/2021,40516.28,41330,39506.4,40144.04,3247746714,1931890
14/06/2021,39020.56,41064.05,38730,40516.29,4320307647,2185089
13/06/2021,35546.12,39380,34757,39020.57,3208991522,1894103
12/06/2021,37331.98,37463.63,34600.36,35546.11,3132387327,1719650
